대지위치,착공예정일,실착공일,사용승인일,위도,경도
경기도 광명시 옥길동 141-20,20060627.0,20060627.0,20060906.0,37.4706594,126.838837
경기도 광명시 옥길동 143-4,20060204.0,20060203.0,20060426.0,37.4716399,126.8377367
경기도 광명시 옥길동 143-5,20060207.0,20060206.0,20060508.0,37.4714705,126.8376058
경기도 광명시 옥길동 143-5,20060203.0,20060203.0,20060324.0,37.4714705,126.8376058
경기도 광명시 옥길동 416-1,20060303.0,20060228.0,20070628.0,37.4640323,126.8297378
경기도 광명시 옥길동 416-1,20060303.0,20060228.0,20070628.0,37.4640323,126.8297378
경기도 광명시 옥길동 418-2,20060406.0,20060405.0,20060609.0,37.4632627,126.8279661
경기도 광명시 일직동 223-22,20060511.0,20060511.0,20060616.0,37.4212396,126.886224
경기도 광명시 일직동 226,20060610.0,20060609.0,20061114.0,37.4212396,126.886224
경기도 광명시 철산동 66-8,20060405.0,20060420.0,20061214.0,37.4864691,126.8652613
경기도 광명시 철산동 77,20060422.0,20060422.0,20080410.0,37.4853318,126.8638124
경기도 광명시 철산동 150,20060919.0,,20071009.0,37.4848747,126.8647364
경기도 광명시 철산동 463-38,20061013.0,20061012.0,20081120.0,37.4783538,126.8635462
경기도 광명시 철산동 542,20061120.0,20061120.0,20110905.0,37.479417,126.8689233
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 철산동 634,20061230.0,20061230.0,20091126.0,37.4718179,126.8743785
경기도 광명시 하안동 36-5,20060314.0,20060312.0,20070612.0,37.4619819,126.8799361
경기도 광명시 하안동 361,20060428.0,20060418.0,20060929.0,37.45146680000001,126.8642017
경기도 광명시 하안동 495,20060308.0,20060308.0,20060727.0,37.4590598,126.8698947
경기도 광명시 하안동 651-1,20060303.0,20060325.0,20061229.0,37.46194880000001,126.877894
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764,20061128.0,20061128.0,20100119.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 764-1,20061031.0,20061031.0,20090123.0,37.4590598,126.8698947
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
경기도 광명시 하안동 863,20061130.0,20061130.0,20091103.0,37.469236,126.872222
